id,hypothesis,term,premise_c,premise_e,explanation_c,explanation_e,type
14,He was at the crossroads of buzzing the stuff all off.,at the crossroads,He was not at a point where he had to make a decision of buzzing the stuff all off.,He was at a point where he had to make a decision of buzzing the stuff all off.,"To be at the crossroads means to be at a point where a choice must be made, but this sentence suggests that the choice has already been made and he is not at that point","To be at the crossroads means to be at a point where a choice must be made, and in this sentence the choice is whether or not to buzz the stuff all off.",idiom
15,"Most men, I've found, especially successful men, will talk about themselves at the drop of a hat.",at the drop of a hat,"Most men, I've found, especially successful men, will not talk about themselves even when provoked.","Most men, I've found, especially successful men, will talk about themselves very readily.","To talk about oneself at the drop of a hat means to do so with little provocation, or freely and immediately, but this sentence describes men who will not talk about themselves even when provoked.","To talk about oneself at the drop of a hat means to do so with little provocation, or freely and immediately.",idiom
16,It appeared to affect sophie's emotions too and she became irritable at the drop of a hat.,at the drop of a hat,It appeared to affect Sophie's emotions too and she became irritable only when there was a lot of provocation.,It appeared to affect Sophie's emotions too and she became irritable with very little provocation.,"To be irritable at the drop of a hat means to be irritable with very little provocation, but in this sentence Sophie is only irritable when there is a lot of provocation.",To be irritable at the drop of a hat means to be irritable with very little provocation.,idiom
39,"By the end of the day, the odds have changed even further, and I'm a total basket case.",basket case,"By the end of the day, the odds have changed even further, and I'm totally fine and not at all emotionally unstable or unable to function in normal situations.","By the end of the day, the odds have changed even further, and I'm a complete mess who is emotionally unstable and unable to function in normal situations.","A basket case is someone who is emotionally unstable and unable to function in normal situations, but the sentence describes the speaker as being totally fine by the end of the day.","A basket case is someone who is emotionally unstable and unable to function in normal situations, and the sentence describes the speaker as being a complete mess by the end of the day.",idiom
40,She's been a basket case.,basket case,She's been extremely emotionally stable and able to function perfectly well in normal situations.,She's been extremely emotional and unable to function in normal situations.,"A basket case is someone who is emotionally unstable and unable to function in normal situations, but the sentence describes her as being emotionally stable and able to function well","A basket case is someone who is emotionally unstable and unable to function in normal situations, which is how she's been described in the sentence.",idiom
51,"""My family would not be happy campers all right, I do have a couple more questions,"" said Zachary.",be happy camper,"My family would not be discontent and uncomfortable all right, I do have a couple more questions, said Zachary.","""My family would not be content and comfortable all right, I do have a couple more questions,"" said Zachary.","To be a happy camper means to be content and comfortable, but in this sentence Zachary's family would not be discontent and uncomfortable, but Zachary would still want to ask more questions. ","To be a happy camper means to be content and comfortable, and in this sentence Zachary's family would not be content or comfortable.",idiom
52,"Just keep filling up their glasses and smiling, and they 'll be happy campers.",be happy camper,"Just keep filling up their glasses and smiling, and they'll be angry.","Just keep filling up their glasses and smiling, and they'll be content.","To be a happy camper is to be content and comfortable, but in this sentence they will be angry instead.","To be a happy camper is to be content and comfortable, and that is what will happen if they keep filling up glasses and smiling.",idiom
90,I'm betwixt and between.,betwixt and between,I'm not conflicted and easily able to decide between two options.,I'm torn and unable to decide between two options.,"To be betwixt and between means to be conflicted and unable to decide between two options, but this sentence describes being able to easily decide between two options.","To be betwixt and between means to be conflicted and unable to decide between two options, which is what the person in this sentence is feeling.",idiom
125,"The shiny new tins tacked to the streaked cat-faces of the pines, all facing east to catch the sun.",catch the sun,"The shiny new tins tacked to the streaked cat-faces of the pines, all facing east to avoid getting sunburned.","The shiny new tins tacked to the streaked cat-faces of the pines, all facing east to get sunburned.","To catch the sun means to get sunburned, but the tins are facing east to avoid getting sunburned","To catch the sun means to get sunburned, and in this sentence the tins are facing east to get sunburned.",idiom
126,catch the sun and amplify it back at her.,catch the sun,avoided getting sunburned and amplified the light back at her.,got sunburned and amplified the light back at her.,"To catch the sun means to get sunburned, but this sentence describes avoiding getting sunburned","To catch the sun means to get sunburned, which is what happened in this sentence.",idiom
