original_sentence,positive_reframing
"Hi Meg, Just sent a support ticket to Lulu about an error on a recent order. Wondering how long a response will take?","Hi Meg, I just sent a support ticket to Lulu about an error on a recent order. I hope to get a response soon."
Wanting to crawl up under my zebra blanket and not come out for a few days..,"It's been a tough time, but thankfully the end of the week is coming."
"Spent hours at the lawyer's today.my neck/shoulders are so sore from, I think, stress and being tense. Must've signed my name a zillion times (Ok I'm exaggerating but 'twas a LOT) lawyer grief","I'm so happy I'm done with all the paperwork, not I get to relax and enjoy my week!"
"Looking for ideas - if you were , anxious or depressed - What would encourage you to get help?",It would be nice to get ideas to get rid of depression and anxiety.
can we just go one day without arguing or looking for something to bitch about? ?,Its not good for us to argue with one another.
I was on vacation like three weeks ago and I'm already in need of another one.,I never grow tired of going on vacation! I'm already excited for my next one!
"No matter how hard I work at it, there is always something in the way. I just want life to give me a break.","I know I will get the break I deserve soon, I'm working really hard."
Forever cutting down words from essays because I ramble like a dick all the time,I have a lot to say and sometimes need to shorten my essays because I am so full of ideas!
I just want to go to the beach and forget about life for a little bit.,want to go to the beach to have my own time to organize my thoughts and relax
Fack. Time to go home to my shitty life of prepping tomorrow's meal. Challenge is to do it w/o making a mess,"At least I get to make a meal, there are people out there who don't get to have food at all."
Thank God Im done with all that's due tom. Hope I get to study for the two long exams on tuesday.,"I'm so thankfull and relieved that I finished all my task, now I can focus on study for my test."
"We often allow contaminants such as bitterness, anger, and unforgiveness to take root in our hearts. ""If you are wondering why you are constantly negative, depressed or angry, ask yourself if you have allowed any contaminants to pollute your stream."" help","We should not allow contaminants such as bitterness, anger, and unforgiveness to take root in our heart to avoid negative and distressed feelings."
We're having an inspection from DOT this week at work and I have to work late every shift this week. I also have midterms at school and trying to cut for this casting call like lord be with me !!,"God will be with me to do my work, because I have a lot of work."
I'm not even tired but I'm going to bed before I rip my hair out,A good night's sleep and rest should get me in a better frame of mind tomorrow.
Holy crap going from straight up droid to an iPhone will give you a headache!!,This is a new opportunity to learn how to use android!
Just had someone pull out of the move making my job so much harder tomorrow. Don't bloody agree if you're just going to back out!,"People pulling out of a job is annoying, but it means I have more free time at work."
but seriously I just want to cuddle a small fluffy animal so all of my worries would vanish for even just a short while.,Cuddling pets is a sure way to relax oneself.
I WILL be able to get a different phone because the one I got today sucks! confusing,I am going to get a new phone which is good.
I have so much to do I get anxiety from fear of being anxious. And then I get anxious. It's a terrible cycle,I must try to overcome my anxiety and concentrate in my regular job.
Omg can't believe I just lost my trust in an associate who I lived with to be my family!!,I feel sorry for having lost trust in an associate whom I believed to be part of my family. I just hope he realizes his mistake.
"Art exam mon&tues, spanish oral thurs, haven't even started the practising for the speaking exam. :(:(",I need an effort to do well on exams
