original_sentence,polite
user: You have been accused of sockpuppetry at <url>.  Scared?,F
"user: If you're going to accuse me of operating in bad faith, then the discussion has become inappropriately personal.  On what grounds do you make such an implication?",F
"user: Yes, and there has been a user from an AOL IP who has been trolling Pilotguy for weeks. Why must you blindly disagree with everything anyone says to you?",F
"user: May I ask why you removed <url> from the article on <url>?  Since CAP is the USAF's official auxiliary, wouldn't it make sense for the CAP article to be in the USAF category?",F
"user: Makes me wanna ask, what do you say about having separate articles like Wikipedia has <url> and <url> or <url> and <url>? Should this be tolerated for non-Transformers stuff?",F
user: I have some made some improvements to the articles you references on the above user's talk page. Perhaps next time you would bring your concerns directly to '''me'''?,F
"user: The text of your warning <url> made me smile. Did you really think that if China got a new Prime Minister as of today, and a female one at that, it wouldn't be all over the news, and the link to this person would be red?",F
"user: Dana, before I give the examples of what sections or parts in the article that needs fixing, I need to know if <url> is still gonna work on the problems. Do you get me?",F
"user: I have no need to search the interwebs, all that matters is it offends people and is a violation of NPOV and MoS. ""All Wikipedia articles and other encyclopedic content must be written from a neutral point of view (NPOV), representing fairly and without bias all significant views (that have been published by reliable sources)"" - ess-eff is a bias term for a minority group of fans, put it this way: is there an SF-channel, or how often is the clichxe9 ess-eff used outside fan-groups?",F
"user: (after multipled edit conflicts)I checked your behaviour and your contributions myself at the time, as did numerous other admins who reviewed your edits and the block and it was subject of extensive discussion on and off-site so your suggestion that I should have checked with others is silly. You violated Wikipedia's policies and were blocked rightly for it; you've been given a second chance and instead of being productive you come here to moan about a comment I made more than six months ago, that I still stand by, and to pursue your now year-old vendetta against Nick?",F
user: you have been following me around all week reverting my edits.  what did i do to you?,F
"user: I pretty much agree with <url>, except I would like to know why you modified the see also section to be a hatnote. Doesn't <url> have specific requirements for this?",F
"user: I kind of agree.  Are you planning on actually editing Wikipedia, or is your whole purpose here to promote this ... study (or whatever it is)?",F
"user: Hey, if you want to assert that a cite does not say what it clearly does say, how about actually coming to the discussion page to discuss it, rather than treating edit summaries like a discussion space?  Why the hell am I the one being accused of edit warring, when I'm the only one actually willing to talk on the discussion page?",F
"user: What is unreliable about the newspaper article reports about the protests in Meliti, Lofi, etc? Are you alleging that the protests against the Greek military did not occur?",F
"user: So do I, because, inspite of my 100s of friends and supporters, I'm feeling a little beleaguered and lonely here. If I can hang on in here, can't you at least keep me company?",F
user: The only way I have a naval website is that I am one of the people actively working to make sure Wikipedia has good coverage of naval topics here. Which website do you think I run?,F
"user: I see that you closed that CfD discussion as rename, but haven't actually renamed the categories. What's up with that?",F
"user: How about Guant who plays Pansy? Or Richard Fish who played Bill Weasley, and the actor who played Charlie Weasley in POA?",F
"user: And DAB uses a very foul language, persistently, is that right? Did I not talk to you about that already?",F
user: I'm sorry but looking back on that edit I won't stand for that. Don't you think that actually removing the edit summary was a bit... well... let's say 'abusing sysop powers'?,F
user: I was not trying to sound rude earlier. Haunted Angel which of my seven reasons had you decided were evidence of his sock puppetry?,F
"user: One question - how come the page is marked as ""in dispute""?  The data that is currently posted isn't in dispute, correct?",F
user: Please answer Bishonen question to you. When were you invited to comment on UC related subjects?,F
user: Further: it seems to me that <url> was a perfectly reasonable dab page. I wonder why you needed to change it?,F
"user: Email from the Darkshado guy complaining about you adding him to the spamlist. I searched the site and couldn't find any of our articles replicated there; has he removed them, or what?",F
"user: I'm sure. How about we let the sockpuppet investigation let us know for certain, m'kay?",F
