memType,storyIx,sentIx,sent,majorBin,expectedBin,eventOrNot
imagined,1,0,"Four months ago, I had a big family reunion.",0.875,0.75,1.0
imagined,1,1,We haven't had one in over 20 years.,0.25,0.125,0.25
imagined,1,2,This was a very exciting event.,0.5,0.25,0.5
imagined,1,3,I saw my Grandma who said I liked great as ever.,0.0,0.875,0.875
imagined,1,4,I saw my Grandpa who said I was getting strong.,0.125,0.75,0.75
imagined,1,5,My Aunt looked lovely and thanked me for the compliment.,0.125,0.375,0.5
imagined,1,6,My Uncle still smoked a lot.,0.0,0.375,0.375
imagined,1,7,We had a nice feast.,0.125,0.5,0.625
imagined,1,8,There were plenty of steaks to go around the whole family.,0.375,0.0,0.375
imagined,1,9,There were some nice mashed potatoes to eat.,0.25,0.25,0.375
imagined,1,10,They had gravy on the side.,0.125,0.125,0.25
imagined,1,11,There was a big cake to share with everybody.,0.125,0.375,0.375
imagined,1,12,It was a chocolate cake.,0.125,0.125,0.25
imagined,1,13,There was also horseshoes to play.,0.125,0.5,0.625
imagined,1,14,I barely beat my Uncle.,0.0,0.625,0.625
imagined,1,15,We vowed to keep in touch.,0.25,0.375,0.5
recalled,2,0,We had a family reunion about 4 months ago that was a really great time.,0.875,0.5,1.0
recalled,2,1,I got to see my distant family that I hadn't seen in decades since I was a kid and close ones that I rarely see.,0.375,0.125,0.375
recalled,2,2,It was cool to see my grandpa because It's honestly been at least 25 years and since he is handicap it's hard for him to get around.,0.375,0.5,0.625
recalled,2,3,He also lives on the opposite coast so it is just hard to meet up.,0.25,0.125,0.375
recalled,2,4,He was looking in pretty good health about the same as when he left so that was good to see considering all the time that has passed.,0.375,0.25,0.5
recalled,2,5,My grandma was there too I had my issues in the past with her but it was still nice to see her.,0.125,0.125,0.25
recalled,2,6,She treated my mom poorly so we don't talk much but I put aside my issues just for this small time period to make the gathering go smooth.,0.25,0.25,0.375
recalled,2,7,I got to see my favorite aunt and uncle who both shared similar passions to me with computers and tech stuff and it's been like 20 years since I saw them so that was sweet.,0.25,0.25,0.5
recalled,2,8,Basically they are the same as I remember just older but they are just as into tech stuff as they were back then.,0.125,0.375,0.375
recalled,2,9,I remember I would bring my GameBoy or old PC games over to their house and they would know about them or have them themselves.,0.125,0.125,0.25
recalled,2,10,Just really good memories honesty that I was happy to remember with how stressful life has been.,0.25,0.25,0.375
recalled,2,11,Finally I got to just catch up with some other family members like my cousins and some others who I didn't remember as well cause I was so young back then.,0.25,0.5,0.75
recalled,2,12,This might have been the last time a lot of us get to meet because we all live so far apart and aren't exactly wealthy so we tried to make the most of it.,0.125,0.375,0.375
recalled,2,13,We took a lot of pictures and overall had a great time and we pledged to try and talk over the phone/webcam more often.,0.125,0.5,0.625
recalled,2,14,I hope everyone gets to meet up with their family at some point because in the end it's all that you have and you don't want to waste that.,0.125,0.0,0.125
retold,3,0,It was our first ever family reunion and it was really cool.,0.875,0.375,0.875
retold,3,1,We weren't able to really do this before besides random holiday meet ups sporadically so it really was a nice change of pace.,0.25,0.125,0.25
retold,3,2,We got to really spend some time together that wasn't rushed and catch up on at least a decade worth of misc stuff.,0.375,0.375,0.625
retold,3,3,It was surprising how much fun it was because I always had memories of being bored out of my mind.,0.375,0.375,0.625
retold,3,4,I guess when you're a kid/teen you would rather be doing other stuff but now that I'm an adult I understood the value of it.,0.125,0.375,0.375
retold,3,5,I wish I could go back in time and tell myself not to squander these moments as we never know if they will be the last.,0.125,0.125,0.25
retold,3,6,Some of my family had passed away in the time frame from when we last met up for the holidays and the reunion so I won't ever get to spend time with them again and that sucks.,0.25,0.25,0.375
retold,3,7,It was really good to see my aunt and uncle again as they are the most similar to myself with our love for technology and in general relaxed personalities.,0.25,0.625,0.75
retold,3,8,I wish I had connected with them much sooner but when my parents divorced people kind of took sides and it was hard to reach over the divide.,0.25,0.375,0.375
retold,3,9,I won't make that mistake again I want to keep these relationships going so we did promise to keep in weekly or bi weekly contact.,0.25,0.25,0.375
retold,3,10,We are all in general bad at communication so hopefully we can keep this up and I will try to take control of it being the youngest.,0.125,0.25,0.25
