word,year,transformed_score
absent-minded,1970,36
active,1970,-141
adaptable,1970,9
adventurous,1970,-252
affected,1970,115
affectionate,1970,230
aggressive,1970,-261
alert,1970,-5
aloof,1970,14
ambitious,1970,-202
anxious,1970,59
apathetic,1970,-42
appreciative,1970,183
argumentative,1970,-53
arrogant,1970,-75
artistic,1970,154
assertive,1970,-178
attractive,1970,192
autocratic,1970,-126
awkward,1970,-46
bitter,1970,-1
blustery,1970,18
boastful,1970,-196
bossy,1970,2
calm,1970,-17
capable,1970,-57
careless,1970,-16
cautious,1970,102
changeable,1970,140
charming,1970,127
cheerful,1970,157
civilized,1970,46
clear-thinking,1970,-123
clever,1970,-6
coarse,1970,-142
cold,1970,-19
commonplace,1970,-31
complaining,1970,99
complicated,1970,54
conceited,1970,-41
confident,1970,-183
confused,1970,106
conscientious,1970,91
conservative,1970,32
considerate,1970,119
contented,1970,72
conventional,1970,-30
cool,1970,-101
cooperative,1970,88
courageous,1970,-178
cowardly,1970,9
cruel,1970,-92
curious,1970,30
cynical,1970,-58
daring,1970,-194
deceitful,1970,46
defensive,1970,-5
deliberate,1970,-63
demanding,1970,-67
dependable,1970,-6
dependent,1970,143
despondent,1970,39
determined,1970,-116
dignified,1970,-11
discreet,1970,77
disorderly,1970,-93
dissatisfied,1970,2
distractible,1970,24
distrustful,1970,-18
dominant,1970,-236
dreamy,1970,178
dull,1970,-45
easy-going,1970,-77
effeminate,1970,103
efficient,1970,40
egotistical,1970,-171
emotional,1970,246
energetic,1970,-65
enterprising,1970,-145
enthusiastic,1970,71
evasive,1970,72
excitable,1970,167
fair-minded,1970,18
fault-finding,1970,48
fearful,1970,91
feminine,1970,308
fickle,1970,156
flirtatious,1970,192
foolish,1970,52
forceful,1970,-223
foresighted,1970,-38
forgetful,1970,-7
forgiving,1970,118
formal,1970,16
frank,1970,-124
friendly,1970,77
frivolous,1970,161
fussy,1970,175
generous,1970,34
gentle,1970,188
gloomy,1970,-24
good-looking,1970,51
good-natured,1970,-6
greedy,1970,-76
handsome,1970,-142
hard-headed,1970,-67
hard-hearted,1970,-97
hasty,1970,1
headstrong,1970,-99
healthy,1970,-69
helpful,1970,61
high-strung,1970,121
honest,1970,-27
hostile,1970,-77
humorous,1970,-85
hurried,1970,54
idealistic,1970,50
imaginative,1970,136
immature,1970,13
impatient,1970,-83
impulsive,1970,108
independent,1970,-206
indifferent,1970,-81
individualistic,1970,-94
industrious,1970,-105
infantile,1970,35
informal,1970,-76
ingenious,1970,-27
inhibited,1970,64
initiative,1970,-74
insightful,1970,22
intelligent,1970,-1
interests narrow,1970,2
interests wide,1970,-5
intolerant,1970,-79
inventive,1970,-91
irresponsible,1970,-9
irritable,1970,23
jolly,1970,-81
kind,1970,126
lazy,1970,-101
leisurely,1970,-15
logical,1970,-161
loud,1970,-124
loyal,1970,36
mannerly,1970,63
masculine,1970,-290
mature,1970,-13
meek,1970,131
methodical,1970,-111
mild,1970,129
mischievous,1970,-96
moderate,1970,-11
modest,1970,89
moody,1970,93
nagging,1970,152
natural,1970,-36
nervous,1970,92
noisy,1970,-68
obliging,1970,26
obnoxious,1970,-80
opinionated,1970,-102
opportunistic,1970,-150
optimistic,1970,53
organized,1970,30
original,1970,50
outgoing,1970,-43
outspoken,1970,-100
painstaking,1970,66
patient,1970,107
peaceable,1970,56
peculiar,1970,2
persevering,1970,-35
persistent,1970,-74
pessimistic,1970,-45
planful,1970,-8
pleasant,1970,151
pleasure-seeking,1970,-108
poised,1970,144
polished,1970,54
practical,1970,-63
praising,1970,105
precise,1970,-52
prejudiced,1970,-74
preoccupied,1970,-16
progressive,1970,-103
prudish,1970,125
quarrelsome,1970,25
queer,1970,-31
quick,1970,-41
quiet,1970,83
quitting,1970,10
rational,1970,-154
rattlebrained,1970,96
realistic,1970,-129
reasonable,1970,-75
rebellious,1970,-96
reckless,1970,-91
reflective,1970,40
relaxed,1970,-30
reliable,1970,26
resentful,1970,8
reserved,1970,36
resourceful,1970,-33
responsible,1970,-8
restless,1970,-60
retiring,1970,-16
rigid,1970,-35
robust,1970,-106
rude,1970,-96
sarcastic,1970,-25
self-centered,1970,-61
self-confident,1970,-114
self-controlled,1970,-33
self-denying,1970,67
self-pitying,1970,35
self-punishing,1970,-13
self-seeking,1970,-54
selfish,1970,-56
sensitive,1970,174
sentimental,1970,259
serious,1970,-80
severe,1970,-89
sexy,1970,160
shallow,1970,16
sharp-witted,1970,-52
shiftless,1970,-92
show-off,1970,-117
shrewd,1970,-22
shy,1970,115
silent,1970,28
simple,1970,34
sincere,1970,97
slipshod,1970,-63
slow,1970,-11
sly,1970,-23
smug,1970,-40
snobbish,1970,72
sociable,1970,114
soft-hearted,1970,197
sophisticated,1970,98
spendthrift,1970,23
spineless,1970,-31
spontaneous,1970,34
spunky,1970,17
stable,1970,-101
steady,1970,-84
stern,1970,-122
stingy,1970,-54
stolid,1970,-72
strong,1970,-207
stubborn,1970,-99
submissive,1970,157
suggestible,1970,97
sulky,1970,67
superstitious,1970,75
suspicious,1970,4
sympathetic,1970,201
tactful,1970,94
tactless,1970,-88
talkative,1970,193
temperamental,1970,84
tense,1970,-10
thankless,1970,-61
thorough,1970,-28
thoughtful,1970,81
thrifty,1970,-17
timid,1970,97
tolerant,1970,54
touchy,1970,44
tough,1970,-149
trusting,1970,91
unaffected,1970,-13
unambitious,1970,49
unassuming,1970,24
unconventional,1970,-44
undependable,1970,-99
understanding,1970,113
unemotional,1970,-123
unexcitable,1970,-99
unfriendly,1970,-33
uninhibited,1970,-98
unintelligent,1970,21
unkind,1970,-53
unrealistic,1970,54
unscrupulous,1970,-46
unselfish,1970,60
unstable,1970,60
vindictive,1970,-3
versatile,1970,23
warm,1970,159
wary,1970,-24
weak,1970,116
whiny,1970,105
wholesome,1970,35
wise,1970,-84
withdrawn,1970,4
witty,1970,-32
worrying,1970,72
zany,1970,45
absent-minded,1990,-100
active,1990,-310
adaptable,1990,130
adventurous,1990,-430
affected,1990,300
affectionate,1990,400
aggressive,1990,-380
alert,1990,-100
aloof,1990,0
ambitious,1990,-320
anxious,1990,270
apathetic,1990,-30
appreciative,1990,240
argumentative,1990,-90
arrogant,1990,-240
artistic,1990,160
assertive,1990,-230
attractive,1990,360
autocratic,1990,-360
awkward,1990,-140
bitter,1990,-10
blustery,1990,-150
boastful,1990,-270
bossy,1990,-180
calm,1990,20
capable,1990,-200
careless,1990,-150
cautious,1990,170
changeable,1990,220
charming,1990,310
cheerful,1990,140
civilized,1990,20
clear-thinking,1990,-210
clever,1990,-140
coarse,1990,-410
cold,1990,-80
commonplace,1990,-40
complaining,1990,290
complicated,1990,200
conceited,1990,-180
confident,1990,-270
confused,1990,170
conscientious,1990,50
conservative,1990,-30
considerate,1990,150
contented,1990,70
conventional,1990,-40
cool,1990,-140
cooperative,1990,40
courageous,1990,-360
cowardly,1990,50
